"L","R","F","M","C"
108.61,13,66,41981,1.272723613
50.68,5,56,81326,0.656791063
22.39,37,26,65695,0.812536266
75.71,7,78,71556,0.745939544
44.94,11,27,71361,0.747777778
96.16,49,34,71847,0.742669701
16.1,2,19,38991,1.368311149
84.84,6,48,58282,0.914743489
111.32,11,45,38655,1.378929246
109.71,4,75,83606,0.637296725
17.16,18,31,79239,0.672245107
42.26,31,53,73785,0.721889408
77.65,3,21,36648,1.453219548
79.48,47,19,58589,0.908637628
83.06,8,28,83627,0.636567257
68.45,20,52,77107,0.690345883
29.61,83,49,72492,0.734195222
68.52,108,56,79156,0.672366087
70.1,62,47,74322,0.715916418
98.84,19,70,63555,0.837163874
32,10,45,81656,0.651134638
101.74,1,38,40307,1.318885057
83.26,13,55,64857,0.819298148
59.23,2,68,68714,0.773164275
93.03,2,40,57173,0.92916639
72.61,34,51,73865,0.718881879
41.45,7,48,70972,0.748179282
70.52,90,6,73392,0.723333333
81.1,22,35,39729,1.336175841
39.42,2,42,75833,0.699951868
50.74,244,26,68178,0.778251195
79.52,11,44,58029,0.914250116
48.1,97,40,58099,0.912895403
102.71,4,80,60819,0.872041303
62.26,2,61,94641,0.560379117
26.58,60,31,38349,1.382930715
82.16,22,36,68154,0.77778575
30.9,1,56,64788,0.818160925
81.19,153,15,77784,0.68137689
45.26,19,82,73921,0.716978125
23.42,44,20,58705,0.902687165
45.03,21,56,78399,0.675712445
106.23,1,25,37662,1.406549307
57.45,15,49,67656,0.782873803
40.35,27,49,74834,0.707764519
59.29,82,43,53829,0.983912203
36.1,5,62,66150,0.800625699
24.55,194,19,60783,0.870773078
71.23,17,45,71078,0.744562453
66.26,130,43,64372,0.821854844
84.06,314,29,36412,1.452817752
21.61,4,63,81102,0.652203891
60.55,13,46,53322,0.99180976
65.26,4,48,77552,0.68187255
100.77,55,35,57764,0.915299841
105.42,12,42,71689,0.737411458
33.65,46,20,64600,0.818
71.03,59,55,59171,0.892817934
36.45,59,29,61479,0.859254217
50.35,5,42,74767,0.706091324
35.19,13,28,64639,0.816719473
77.03,151,46,67640,0.780097428
89,30,49,65723,0.802753678
102.58,13,57,73819,0.714524987
60.35,1,82,58614,0.89987375
43.32,88,29,77601,0.679622943
107.84,32,52,70566,0.747067285
84.97,32,29,35893,1.468002396
72.39,23,35,54234,0.971369805
19.77,20,52,69052,0.762866391
79.97,32,67,82048,0.641917414
98.71,283,19,67880,0.775889216
86.65,64,36,64434,0.817238259
89.48,11,36,64237,0.819461058
39.94,21,49,69810,0.753950723
67.52,1,22,39768,1.323486723
81.16,2,54,69123,0.761393458
24.71,94,19,43462,1.210662188
109.61,5,48,72522,0.72545531
49.23,24,63,70241,0.748315087
35.68,23,44,70269,0.747928674
41.52,70,34,62200,0.844919936
30.84,67,32,44298,1.186242043
104.35,293,13,52254,1.005550006
112.19,44,41,69751,0.753241244
71.39,31,56,66736,0.786896278
96.97,13,45,82182,0.638975445
105.71,2,51,78236,0.671176441
51.23,2,47,62300,0.842580096
16.87,9,48,48023,1.093051455
71.26,3,72,69727,0.75271387
44.81,34,57,77295,0.678728637
81.13,20,26,37863,1.385577213
62.39,86,27,38894,1.348791073
95.45,27,41,62686,0.836819386
96.06,8,72,57835,0.906908446
95.97,12,68,64120,0.817871803
111.87,11,74,62827,0.834571601
80.52,1,49,75576,0.693752911
89.26,39,46,60237,0.870313595
107.1,3,44,70539,0.743063837
82.06,26,54,54913,0.954376013
86.71,4,46,64946,0.806643365
85.58,2,54,71253,0.735079646
112.65,3,58,66810,0.783947912
31.35,16,42,69770,0.750047872
60.03,39,39,60958,0.858228124
84.84,3,16,47254,1.106824396
30.03,1,55,65113,0.80317141
88.03,37,37,53716,0.972195808
89.48,4,51,65122,0.801868339
33.23,3,63,72541,0.719675218
87.13,12,69,68104,0.766470398
29.61,3,46,79069,0.660163275
101,40,70,74716,0.698464854
66.32,5,34,66311,0.786851503
66.97,19,27,66897,0.779255124
44.77,5,22,55901,0.932533944
45.35,32,64,80350,0.648725078
84.77,11,77,72039,0.723545579
46.71,38,45,72156,0.722256223
24.58,156,24,43077,1.209802679
31.39,31,67,67051,0.777202726
27.16,96,34,85229,0.611359866
76.65,32,52,68345,0.762165484
43.39,11,71,86106,0.60493508
74.29,5,34,48212,1.080389322
64.65,12,28,79281,0.657000795
21.42,1,21,64337,0.809487076
104.26,4,24,64340,0.809431147
79.97,10,58,77626,0.670858733
74.77,18,73,78027,0.667315673
85.29,12,44,58643,0.887773647
43.48,32,40,68353,0.760788115
28.81,4,84,68048,0.763973225
61.71,102,31,100373,0.517901029
27.81,20,56,68540,0.758141523
36.81,63,46,79994,0.649567093
89.71,13,45,43281,1.2000067
110.65,18,42,55383,0.937671488
15.16,87,5,50895,1.019951469
102.26,25,41,79338,0.654149336
35.45,11,75,64012,0.810686278
96.97,8,55,79075,0.656156434
40.32,2,38,72817,0.712546658
36.77,1,58,76146,0.681298295
54.61,1,64,77633,0.668124509
42.35,35,50,87826,0.590458406
70.68,66,39,71091,0.729428338
12.61,2,65,75026,0.69095287
70.61,118,69,90823,0.570273169
87.16,18,62,71204,0.727114207
100.87,13,46,78058,0.66311371
100.9,16,40,48705,1.062421107
49.58,121,10,55746,0.927492197
112.97,24,36,66349,0.779253945
59.77,23,41,46235,1.117744998
69.61,7,44,71723,0.720284428
42.26,1,34,56621,0.912387983
111.03,7,32,74287,0.694945145
31.06,13,56,75409,0.684551314
32.65,20,41,65636,0.786322597
33.97,40,39,59686,0.864602754
62.9,10,53,74249,0.695000202
76.06,27,66,68037,0.758270794
21.61,62,26,37631,1.370714305
62.71,62,39,65794,0.783891236
99.55,7,76,63132,0.816826807
70.39,13,45,77263,0.667262208
87.9,93,37,52469,0.982461263
35.55,7,72,73121,0.704958083
91.23,31,53,74640,0.690445874
36.35,41,39,64352,0.800816602
64.35,107,35,46076,1.118377463
84.55,3,76,75477,0.682545411
43.13,31,40,63573,0.809896025
18.61,1,58,86027,0.598479547
35.55,1,42,66529,0.773845391
16.94,49,33,69734,0.738067083
84.81,9,59,69893,0.735930494
65.45,111,26,39659,1.296921254
50.39,9,42,70791,0.726525406
38.39,14,33,68920,0.74590177
79.74,1,70,62459,0.822804079
35.97,3,44,65358,0.786177362
112.1,9,60,97713,0.525715616
57.35,63,36,60680,0.845719018
17.39,5,60,74825,0.685834414
26.97,2,43,69298,0.740439407
108.13,69,61,71531,0.717274049
52.68,6,54,60679,0.845511462
41.81,16,20,61515,0.833807364
34.65,9,80,67870,0.755703256
23.19,170,8,52310,0.980220226
56.58,11,66,59480,0.861908373
77.61,86,5,50481,1.015233256
32.39,39,15,69081,0.741636774
24.52,4,45,111205,0.460557709
52.48,32,24,40937,1.251077754
102.1,126,37,58957,0.868407483
29.13,151,41,68831,0.743698915
23.48,158,6,51544,0.992950489
15.77,5,23,35733,1.432148434
62.97,40,32,65372,0.782574344
72.84,30,5,55013,0.92993238
55.48,319,72,90966,0.562365059
77.55,18,75,65997,0.77504826
31.97,35,26,54038,0.946324994
53.32,67,4,48928,1.045
53.32,39,39,72182,0.707918318
107.45,136,39,56478,0.90452725
46.42,3,30,83155,0.614307618
83.71,16,21,43408,1.176802202
22.26,21,73,61341,0.832736343
81.35,36,36,54878,0.930500383
74.45,8,41,71744,0.711605709
39.87,2,54,62325,0.818561893
69.19,14,72,58750,0.867902468
41.23,13,25,53179,0.958813441
19.29,19,48,75931,0.671169351
50.61,3,31,49318,1.033152399
32.68,31,28,79016,0.644642857
99.03,3,70,71655,0.71046989
95.61,13,36,69635,0.731010986
18.32,138,20,38948,1.306759012
23.94,20,42,81359,0.625529935
112.58,2,47,63275,0.804304228
93.71,258,4,48928,1.04
65.23,27,78,61691,0.824487527
111.35,131,16,73903,0.688235254
95.42,63,27,72240,0.703860742
104.9,19,53,63349,0.80251401
72.74,15,52,76209,0.666775184
41.29,40,21,48396,1.049754525
104.94,66,54,69039,0.735568592
80.29,6,31,64387,0.788709677
88.35,18,27,74301,0.683212339
103.71,15,44,72244,0.702576961
70.23,6,49,73116,0.694149571
38.55,17,54,65360,0.776467258
102.52,17,38,70963,0.715050942
17.03,13,31,65140,0.778791372
112.74,27,30,56023,0.905490781
110.32,40,19,63836,0.794303684
24.13,43,36,34714,1.460571527
80.16,16,28,46152,1.098501473
26.23,4,69,70121,0.722842658
54.19,16,63,74355,0.681498218
19.39,9,60,77799,0.651002327
24.06,31,61,61428,0.824465553
24.48,9,31,36910,1.371955839
67.26,12,52,70809,0.714735556
46.84,7,34,41626,1.215350022
74.74,1,27,51390,0.984149445
71.58,7,42,71920,0.702774055
33.55,6,50,73216,0.690326978
24.1,6,40,56367,0.896432487
84.32,146,19,60804,0.830982666
88.13,17,31,61901,0.816110725
22.19,7,18,35956,1.404529425
92.26,14,49,69083,0.731013129
94.39,5,23,37887,1.332791987
76.23,4,70,70833,0.71282439
23.52,94,10,93191,0.541591677
99.81,17,46,58349,0.864927077
112.81,2,60,60099,0.839483852
35.16,134,29,63714,0.791779044
24.52,33,39,67841,0.743163426
59.94,6,56,68934,0.731220008
21.03,4,62,73418,0.68649037
23.32,18,24,75942,0.6636279
74.13,34,48,59196,0.851339449
27.87,202,6,73392,0.686666667
26.13,403,4,48928,1.03
101.74,30,24,38472,1.309841183
59.03,8,59,77920,0.646664656
40.39,3,73,59725,0.843651067
79.9,6,27,78853,0.63883175
36.39,26,52,44279,1.136604711
91.65,13,30,52579,0.956941174
91.48,59,8,75870,0.662752076
77.16,59,48,66246,0.759022582
83.65,96,39,69980,0.718097456
80.16,19,46,61442,0.817299242
100.77,34,57,71391,0.703237803
63.35,5,63,75542,0.664296683
55.87,10,13,45122,1.111672798
28.55,69,80,63517,0.789717084
107.65,11,48,40001,1.253854154
93.19,34,38,64229,0.780875617
83.29,28,55,59442,0.843655664
62.13,32,48,73233,0.68475141
57.19,34,47,71277,0.703431963
62.81,69,14,67744,0.739888108
34.13,8,40,68953,0.726904413
92.74,66,42,71856,0.69738811
42.9,5,55,69792,0.717866661
68.1,8,39,65506,0.764808109
60.94,34,60,70108,0.714509328
84.39,1,37,69234,0.723418118
60.16,33,45,65795,0.760955544
23.35,291,18,58140,0.861111111
81.45,2,45,50740,0.98647162
29.16,18,33,65742,0.761302364
21.68,30,31,66750,0.749679101
86.84,26,25,61795,0.809548669
107.39,11,80,69279,0.722001472
106,2,50,66558,0.751283542
48.26,16,56,62996,0.79376262
111.39,7,33,48122,1.038886788
53.48,11,48,71341,0.700609047
71.87,12,62,73746,0.677760421
36.81,55,26,78820,0.634111774
46.39,17,53,65144,0.767083231
91.16,1,20,37568,1.329684306
82.65,30,34,39877,1.252192492
42.65,5,42,76022,0.656594802
74.87,5,55,63712,0.783405795
25.52,49,41,77240,0.646040264
94.74,39,46,80054,0.623314013
70.55,12,55,86826,0.574586069
100.81,60,23,42591,1.171318588
61.58,43,41,63850,0.781289272
68.39,16,52,67646,0.73737235
31.68,42,38,61022,0.817397004
35.97,126,19,50833,0.980998761
96.1,75,46,64983,0.76707385
21.16,8,63,74483,0.669037767
75.13,130,12,75349,0.661214217
111.9,20,53,65388,0.761607634
79.61,13,39,59207,0.841060348
108.32,2,42,65703,0.757844999
86.16,7,6,73392,0.678333333
80.06,12,20,37123,1.34056892
53.77,19,44,66742,0.745605166
25.45,63,7,64498,0.771047784
108.19,76,21,67339,0.738517055
90.42,6,56,62433,0.796528438
82.06,4,35,65275,0.761810647
87.87,8,30,46669,1.064747263
29.06,84,20,63827,0.77832422
37.16,34,6,73392,0.676666667
101.77,114,45,64032,0.775392616
103.58,1,38,46628,1.064775028
54.03,11,35,57674,0.860810764
62.77,83,42,55805,0.889423528
35.23,4,74,71373,0.695332689
59.74,5,50,70457,0.704360816
32.48,36,37,81789,0.606722787
30.35,75,42,68736,0.721880965
53.58,43,39,74715,0.664070401
82.52,5,44,69998,0.708815109
94,4,52,74390,0.66677376
30.68,24,50,71090,0.697566465
47.1,39,30,62688,0.790226678
69.81,18,60,63926,0.77486719
100.61,3,40,68431,0.723708553
41.35,35,48,73455,0.673834048
101.1,31,42,69182,0.715156833
64.87,4,30,69523,0.711618745
87.16,59,24,67728,0.730416667
80.32,15,53,79101,0.625088305
100.65,30,33,51867,0.953053772
107.58,18,57,68291,0.723710591
75.94,8,46,78361,0.630668955
54.58,83,38,65075,0.759309259
88.9,10,41,68304,0.7231698
93.13,84,50,72255,0.683592001
48.77,15,55,69145,0.714214911
89.65,2,72,72372,0.682124579
81.13,73,30,39249,1.25737471
97.87,29,51,49022,1.006655583
26.61,37,37,59892,0.823821045
29.74,14,22,70806,0.696795893
62.45,19,39,64470,0.765195595
34.26,22,27,65525,0.752822587
66.45,33,38,50782,0.971334725
79.94,14,46,51349,0.96044402
75.45,8,64,70829,0.696282596
13.87,4,52,75275,0.655099568
33.74,19,62,63464,0.776200681
42.35,147,39,70495,0.698672388
65.48,33,53,64362,0.765140456
64.74,20,25,70550,0.698
53.32,32,40,64908,0.758355673
37.1,9,31,60579,0.812386305
21.61,18,46,68106,0.72254471
59.29,23,49,45202,1.088652051
87.65,37,35,42920,1.146472973
107.77,7,43,65623,0.74954391
29.16,24,57,61806,0.795606252
30.84,13,69,58468,0.841010809
73.45,10,43,71624,0.686400927
26.35,5,49,67438,0.728904327
21.16,39,46,63904,0.768844517
35.1,37,54,76647,0.640941589
30.16,87,42,75918,0.646998867
40.1,33,30,56042,0.876431962
74.94,23,26,33928,1.447624971
83.97,5,99,78698,0.623999085
83.1,20,47,78992,0.621666751
78.9,11,62,64886,0.756509262
23.65,41,45,73155,0.670862142
53.87,67,64,74962,0.654643553
99.74,2,38,62453,0.785643444
48.94,5,73,58892,0.832899036
104.77,5,39,60723,0.807561221
39.23,44,18,55064,0.89048489
20.58,2,22,60802,0.806351107
49.74,2,39,53361,0.91837072
102.06,12,54,62170,0.78806627
35.77,14,35,66955,0.731721007
29.26,37,50,39028,1.255212412
90.35,6,39,57633,0.849802717
100.03,2,32,67203,0.728682946
79.65,23,59,58247,0.840673339
66.87,14,26,37191,1.316133473
25.42,9,59,64342,0.760689441
65.55,33,40,68272,0.716802056
69.13,12,23,33094,1.478692512
82.42,12,36,79482,0.615612843
27.65,6,32,69200,0.706966329
101,30,52,59187,0.826500752
16.19,55,22,62709,0.779879443
26.71,37,20,59370,0.82367273
42.06,27,32,32894,1.486519426
76.19,70,46,62014,0.788479859
32.94,31,14,68732,0.711088285
48.23,9,79,66610,0.733657259
88.9,23,44,49792,0.981059005
27.58,35,20,33237,1.469550501
35.39,11,53,56385,0.866189767
79.26,40,59,54479,0.896388517
67.71,3,51,68621,0.711479722
68.06,21,87,62188,0.784875699
53.45,34,41,60371,0.808486856
75.68,5,35,45301,1.077432507
26.35,2,73,57527,0.848445078
94.97,2,28,74569,0.654286232
64.29,59,31,36574,1.333376442
30.48,13,20,52172,0.934647512
106.13,98,42,70093,0.69542251
53.55,12,38,67437,0.722693922
38.81,152,8,54277,0.897809385
28.68,199,5,51250,0.950485463
50.77,7,54,47629,1.022643557
54.87,33,66,80259,0.60671202
100.42,24,35,60412,0.805970006
111.06,14,67,65767,0.740332081
65.13,125,6,73392,0.663333333
111.42,56,6,73392,0.663333333
93.23,45,46,67154,0.724942967
27.68,9,57,65176,0.746886431
40.26,58,41,33309,1.461069981
12.19,367,4,42844,1.135799645
62.84,6,48,65530,0.74256127
47.52,3,71,64219,0.75745636
70.26,6,38,53752,0.904904748
12.97,17,14,47938,1.014575285
53.55,9,36,71086,0.684074783
53.35,105,24,60853,0.799007937
26.94,105,10,66059,0.735854615
110.81,39,61,50123,0.969567863
96.32,25,38,71165,0.682880348
37.97,14,38,67098,0.72410817
27.16,138,45,37953,1.279919374
74.48,8,52,57327,0.847255569
104.16,21,50,58473,0.830540591
104,135,49,49989,0.971115645
47.48,75,25,71634,0.677349443
85.84,194,22,33292,1.457156374
88.97,14,37,64818,0.748072603
72.84,8,60,70672,0.685775413
53.48,80,56,82284,0.588995187
34.13,80,7,62538,0.774799642
41.32,3,48,40606,1.193269468
50.03,80,59,50030,0.968302618
24.52,118,55,66702,0.726079878
94.29,15,44,51048,0.948618751
67.77,2,48,69478,0.696902761
36.06,24,42,54562,0.887377112
47.16,21,56,67856,0.713490627
38.1,12,33,65314,0.741046789
78.42,3,56,64962,0.744854222
18.29,3,23,59489,0.813347173
98.71,24,65,64116,0.754613669
62.16,5,50,61194,0.790610681
15.58,24,7,70952,0.681428571
95.48,11,26,61174,0.790264982
92.35,15,45,64104,0.754137651
38.87,18,49,68761,0.703001265
78.61,2,45,51003,0.947583279
66.87,16,69,62134,0.777504426
22.65,19,19,59514,0.811631885
25.35,15,45,72007,0.670756176
47.26,88,34,36623,1.318610436
46.19,4,65,59156,0.816271553
56.97,1,40,53773,0.897889833
79.13,109,32,64320,0.750494403
68.9,3,43,69652,0.692856487
100.68,14,28,39647,1.217062073
61.58,60,48,75725,0.637128161
51.81,178,9,57146,0.844156546
79.06,141,36,58805,0.819984355
25.65,26,55,65570,0.735326674
99.13,4,67,67543,0.713548406
35.81,8,19,93742,0.514123659
73.77,22,31,33279,1.447885153
62.9,204,12,50418,0.955632909
80.42,4,67,54114,0.890336697
19.9,9,45,66367,0.725955821
72.87,33,17,50436,0.955150289
107.81,28,47,61770,0.779862231
13.65,11,9,66125,0.72832983
67.71,17,52,67226,0.716286556
88.77,16,29,43790,1.099567024
97.55,12,40,47184,1.020103849
111.87,4,53,78602,0.612289891
74.77,6,29,68816,0.698824401
80.58,21,26,65327,0.736086764
19.55,46,39,64767,0.74243658
31.13,14,40,65110,0.738475196
25.74,10,66,112328,0.427987679
15.03,122,49,60629,0.792634713
99.97,4,59,62121,0.773296631
88.13,56,51,50637,0.948414006
72.9,1,39,74850,0.641605878
23.48,47,36,90193,0.532407947
40.65,83,22,58776,0.816712774
20.74,16,23,60789,0.789565217
20.65,22,57,73958,0.648521188
31.58,11,30,61336,0.781273314
37.77,112,20,61770,0.775476121
90.32,244,9,57245,0.836728099
93.97,58,49,60047,0.797296951
111.97,12,62,66309,0.721804431
67.26,41,34,66083,0.724151749
107.9,12,35,65727,0.728040683
73.97,32,33,59608,0.802731513
20.74,12,73,66134,0.723123658
68.06,35,7,68035,0.702750937
28.58,13,36,67741,0.705557196
37.42,4,59,66953,0.713847475
40.55,26,34,60529,0.789585653
23.52,28,21,33276,1.435951136
19.26,1,39,59751,0.799607538
56.94,20,29,63052,0.757211349
53.55,345,40,61731,0.773243589
92.42,12,62,40078,1.190853336
30.58,8,47,67120,0.711044845
94.52,29,40,57032,0.836522829
107.52,184,5,61160,0.78
102.45,43,32,63441,0.751885374
108.81,15,43,62025,0.769031681
32.1,85,12,66385,0.718209535
66.65,10,45,49627,0.960496302
100.71,11,39,65017,0.733006598
41.65,5,54,60873,0.782877959
70.9,48,18,37864,1.25841591
15.81,63,33,63876,0.74588844
63.84,6,38,67159,0.709327268
45.26,234,42,63749,0.747260349
43.65,5,58,77497,0.614588823
67.81,25,62,67853,0.701904706
98.19,18,49,70958,0.671171397
78.87,13,44,62154,0.766165975
24.23,32,35,63619,0.748222701
48.35,1,67,65758,0.723876334
84.71,2,53,70882,0.671400497
51.74,180,21,53725,0.885706096
45.58,76,31,63752,0.746398388
103.16,10,23,47771,0.995652174
35.77,66,42,71187,0.668125219
71.39,108,8,45604,1.042693623
14.52,11,32,40288,1.18006106
40.71,14,76,51836,0.917133266
36.74,6,58,70134,0.677743177
27.58,10,46,77242,0.61502421
25.52,342,8,61184,0.776353295
24.03,28,14,57587,0.824759928
83.81,7,30,53807,0.882125932
36.52,1,54,56217,0.843904157
53.16,9,50,62361,0.760666923
65.29,10,53,64971,0.730108202
43.06,33,44,60652,0.781914859
82.35,105,27,75233,0.630254011
16.03,24,23,57117,0.829991946
17.52,1,44,67114,0.706173526
33.13,19,58,47828,0.990887137
37.32,89,18,34882,1.358156929
71.97,1,78,61263,0.772970472
87.97,34,21,33750,1.402942222
42.81,212,17,54910,0.861764706
15.26,48,9,58526,0.808478112
30.48,39,51,60428,0.783007712
24.26,70,69,86052,0.549837308
33.94,3,63,58422,0.809872993
111.77,7,65,63920,0.739965426
66.77,5,21,56429,0.838172394
81.19,4,39,57710,0.819496448
70,68,37,65595,0.720904795
92.55,2,48,64788,0.729878373
99.03,42,31,52111,0.90728234
111.52,184,48,53921,0.87667699
81.74,33,29,41254,1.14571993
75.61,221,26,55018,0.858987241
42.1,1,25,70076,0.67432088
51.06,31,16,55450,0.85214211
97.26,103,39,67848,0.696407116
69.84,6,42,35834,1.318284869
16.32,17,43,70233,0.672575855
86.23,15,28,37176,1.270427426
79.58,13,34,63535,0.743340678
82.42,4,95,70857,0.666308339
31.97,6,64,66025,0.714856645
90.48,44,13,50904,0.927162895
20.77,13,34,55105,0.856382542
65.26,29,58,67640,0.697632318
61.81,30,30,37647,1.253037427
12.97,8,20,72101,0.65420119
93.55,50,13,32263,1.461983696
57.87,8,75,68054,0.693026714
64.58,4,19,35101,1.34355346
23.97,8,69,56000,0.842095
81.32,8,43,56550,0.833829355
22.39,31,14,68732,0.686018157
74.74,27,19,32673,1.443108683
23.29,329,23,57820,0.815447942
52.29,34,25,32385,1.455732283
101.55,4,45,75631,0.622993482
38.58,95,29,35573,1.324360892
94.23,17,49,77541,0.607343083
110.74,8,39,66939,0.703508269
39,11,26,63110,0.746037078
107.52,12,37,58401,0.805995617
84.94,27,67,57240,0.822286688
73.74,31,39,65541,0.718047177
13.52,10,36,48074,0.978387486
97.26,4,39,56732,0.828845096
72.35,14,46,66542,0.706532866
50.84,7,51,58840,0.798978246
102.71,9,59,60407,0.777837337
24.16,7,19,48946,0.959844523
90.03,16,50,64105,0.732819281
56.81,3,38,57112,0.822513657
22.65,4,28,36690,1.280117198
83.03,8,22,70332,0.667765171
82.55,11,30,70342,0.667661283
100.52,2,60,53005,0.885783794
25.71,4,20,61235,0.766647342
70.13,3,55,68382,0.686492498
42.32,63,24,68365,0.68645535
38.42,8,50,65219,0.719402321
77.23,22,33,37629,1.246635839
70.48,25,39,59596,0.786998792
36.9,4,57,63566,0.73771812
34.35,86,21,33295,1.408176002
65.39,2,40,74055,0.633040848
81.52,178,8,76142,0.615665992
77.55,10,46,67765,0.691612632
104.71,39,62,54384,0.861574176
108.06,4,49,62426,0.750316214
84.71,18,56,73399,0.63813853
107.13,6,45,71309,0.656746694
64.97,191,44,74909,0.625183623
44.32,97,20,56253,0.832175706
48.58,15,40,51225,0.913425671
22.39,7,45,57643,0.811587183
32.55,42,35,68617,0.681779442
99.97,4,38,60295,0.77580413
30.55,5,13,35230,1.327692308
82.32,9,68,61090,0.765644295
82.23,28,37,70131,0.666759636
34,5,40,52977,0.882597731
75.84,11,32,47554,0.98308933
66.84,7,39,61312,0.762239529
37.74,388,15,31155,1.5
47.58,24,42,60039,0.778278286
72.23,2,44,63957,0.730510656
12.32,24,10,66892,0.698374843
55.42,15,36,59205,0.788744532
112.29,10,29,42118,1.108626478
94.1,17,28,59737,0.78164404
94.16,6,52,61194,0.763010916
38.52,8,33,62659,0.744676902
74.32,27,24,77279,0.603654809
39.97,44,40,70641,0.66035008
44.23,7,29,44033,1.059304158
24.84,29,44,55567,0.839398384
88.52,15,22,49636,0.939592836
16.35,4,50,77141,0.604554128
12.97,7,24,63432,0.735
31.16,19,35,32642,1.428168617
49.84,25,37,51074,0.912370286
61.61,164,23,60789,0.766521739
107.26,3,81,60984,0.763848059
85.39,18,23,34088,1.366488207
61.26,64,24,50058,0.93031064
38.55,220,9,66404,0.701145262
59.32,20,40,53356,0.872332071
14.45,1,47,62649,0.742803876
82.03,2,49,64106,0.725679812
67.81,9,47,76359,0.609131471
61.45,13,37,61573,0.755213974
84.58,32,10,64800,0.717575309
52.71,22,69,75696,0.614127695
89.29,35,29,50660,0.917573628
64.77,413,24,31187,1.490316478
89.29,13,67,62811,0.739949054
29.94,35,16,54209,0.856861038
28.97,1,34,70891,0.655183874
24.29,13,66,50878,0.912695271
44.03,40,25,41212,1.126618703
79.97,4,24,65275,0.711071926
30.97,22,23,60789,0.763478261
45.03,19,62,54315,0.854383504
35.55,14,36,66096,0.70194505
100.97,2,77,60202,0.77060596
45.13,241,6,51335,0.903595013
18.13,40,36,58825,0.788376371
87.19,11,31,36941,1.255328226
76.97,436,6,45460,1.019714034
105.42,2,29,70525,0.657086281
98.81,4,46,61758,0.750319797
52.68,155,18,44574,1.039563423
93.13,8,36,62184,0.744928921
50.71,382,8,55830,0.829592692
33.35,1,65,57058,0.811691437
33.06,4,53,53905,0.85911678
38.13,12,46,70245,0.659041782
85.52,7,55,73099,0.633246966
65.35,86,29,58693,0.788664747
54.84,5,51,52989,0.873529412
85.55,20,49,67712,0.683388764
88.9,16,64,61512,0.752008389
14.03,11,49,58196,0.794436044
60.45,8,32,66510,0.695090212
62,5,22,80600,0.573560794
22.48,74,75,58836,0.785545414
16.06,18,26,40418,1.143504627
98.48,4,34,59162,0.781142287
28.94,27,46,91452,0.505251607
44.32,62,19,49490,0.933420489
56.97,2,47,64517,0.715870236
70.13,21,36,44376,1.040605057
77.65,24,32,61263,0.753479751
67.55,267,41,46010,1.003256901
45.42,37,39,54526,0.846247111
14.16,4,71,65665,0.702518389
90.52,18,28,32162,1.434148685
75.55,3,34,41043,1.123679312
100.16,7,48,59628,0.773346079
77.81,112,19,32487,1.419373903
61.68,3,22,61206,0.753359311
53.42,26,54,56531,0.815491323
91.74,40,51,65327,0.705425322
93.26,65,18,57287,0.804222598
18.84,15,29,52889,0.87071149
80.68,6,35,61729,0.745936918
111.97,76,40,62166,0.740671428
100.87,22,36,62553,0.736056944
68.35,2,53,52733,0.873115506
75.87,25,45,60937,0.755442178
36.71,3,34,56655,0.812530227
51.06,3,63,59441,0.774335391
98.19,6,68,78258,0.588061796
79.81,28,48,69483,0.662308047
35.35,185,29,34744,1.324080129
30.42,9,38,49015,0.938369887
112.58,4,44,62121,0.74014021
102.52,13,50,64859,0.708793537
26.61,9,68,51779,0.88782209
20.23,207,5,38637,1.189666641
77.55,51,49,52209,0.879918979
27.48,31,50,56052,0.819557018
34.19,39,45,46497,0.987847388
87.13,89,68,60565,0.758290102
104.68,21,34,55322,0.830052963
93.19,4,24,42252,1.086775774
39.48,11,61,56461,0.813098068
19.55,6,61,59061,0.776697821
62.94,3,44,63908,0.717740815
37.97,1,43,66764,0.687006021
37.23,23,41,62730,0.73097561
76.97,5,56,64094,0.715391612
76.77,2,61,58929,0.778074632
43.42,106,19,46996,0.975393225
71.84,40,34,55584,0.824684981
108.81,71,45,63935,0.716859936
54.48,14,67,64006,0.716044277
90.74,10,39,63629,0.719844568
53.13,222,23,69707,0.656626307
79.55,13,35,58939,0.776306351
105.68,58,48,72519,0.630697886
102.68,25,47,76177,0.600286176
81.1,72,28,50850,0.8991294
104.74,5,45,65806,0.694722366
55.48,2,30,61564,0.742580729
102.71,6,56,67080,0.681457812
24.77,19,32,65541,0.69743321
18.81,17,14,69266,0.65992435
67.55,256,26,32160,1.420642413
21.23,25,42,63666,0.717311595
60.81,33,37,58346,0.782638056
63,25,38,58501,0.780300508
23.61,22,20,31505,1.447878749
59.13,141,17,54910,0.830588235
111.32,59,41,68034,0.670298821
93.13,114,36,65952,0.691085183
96.1,45,28,75968,0.599965249
43.71,10,46,53814,0.846887427
107.94,20,47,52731,0.864183877
95.58,49,46,56186,0.811013954
63.61,177,35,59265,0.76871155
112.39,5,38,61200,0.744369771
48.94,17,59,62570,0.727838261
26.97,1,28,74408,0.612005967
26.45,17,43,75260,0.604975419
59.55,2,47,59233,0.768662401
54.06,104,20,55298,0.823104271
74.55,1,50,74946,0.607194513
96.26,8,36,75556,0.601727593
71.61,192,8,54488,0.834387755
93.97,51,35,74171,0.612907201
33.35,19,40,67841,0.669969635
